file_path,folder,mono_probability,prediction,uncertain,label_studio_id,
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0052_slide1_8.png,Clustered_cell,0.4067,NonMonocyte,TRUE,62938,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x007_y003_cell_0144_slide1_6.png,Unusable,0.4068,NonMonocyte,TRUE,219639,Clustered
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0099_slide1_4.png,Unusable,0.4068,NonMonocyte,TRUE,67227,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0109_slide1_5.png,Clustered_cell,0.4069,NonMonocyte,TRUE,61492,x
D:/MMA_LabelledData/Sliced\RBC alone\tile_x001_y004_cell_0004_slide2_4.png,RBC alone,0.4071,NonMonocyte,TRUE,62199,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0221_slide1_6.png,Clustered_cell,0.4072,NonMonocyte,TRUE,61987,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x007_y004_cell_0161_slide1_1.png,Unusable,0.4074,NonMonocyte,TRUE,221934,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0123_slide1_4.png,Monocyte_without_RBC,0.4075,NonMonocyte,TRUE,67428,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0069_slide2_4.png,Monocyte_without_RBC,0.4076,NonMonocyte,TRUE,57281,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0134_slide1_5.png,Clustered_cell,0.4077,NonMonocyte,TRUE,63553,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y003_cell_0013_slide1_2.png,Lymphocyte,0.4078,NonMonocyte,TRUE,60423,MonowithoutRBC
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0114_slide1_5.png,Monocyte_without_RBC,0.4081,NonMonocyte,TRUE,67357,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0039_slide1_3.png,Monocyte_without_RBC,0.4085,NonMonocyte,TRUE,62756,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y001_cell_0003_slide2_8.png,Lymphocyte,0.4086,NonMonocyte,TRUE,56220,RBC alone
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0069_slide2_3.png,Clustered_cell,0.4088,NonMonocyte,TRUE,59069,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y003_cell_0009_slide1_4.png,Unusable,0.4093,NonMonocyte,TRUE,60351,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y003_cell_0128_slide1_5.png,Lymphocyte,0.4094,NonMonocyte,TRUE,61626,MonowithoutRBC
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y003_cell_0049_slide1_8.png,Monocyte_without_RBC,0.4097,NonMonocyte,TRUE,60944,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0075_slide1_5.png,Monocyte_without_RBC,0.4098,NonMonocyte,TRUE,67012,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y005_cell_0054_slide1_1.png,Unusable,0.4098,NonMonocyte,TRUE,64864,MonowithoutRBC
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0063_slide1_1.png,Monocyte_without_RBC,0.4099,NonMonocyte,TRUE,66897,RBC alone
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0033_slide1_3.png,Clustered_cell,0.4102,NonMonocyte,TRUE,62672,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0050_slide2_3.png,Monocyte_without_RBC,0.4104,NonMonocyte,TRUE,58854,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0335_slide1_5.png,Monocyte_without_RBC,0.4106,NonMonocyte,TRUE,58075,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y006_cell_0175_slide1_8.png,Monocyte_without_RBC,0.4107,NonMonocyte,TRUE,479879,unusable
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0222_slide1_6.png,Clustered_cell,0.4108,NonMonocyte,TRUE,61990,unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0021_slide2_1.png,Monocyte_without_RBC,0.4109,NonMonocyte,TRUE,56609,RBC alone
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0022_slide2_7.png,Unusable,0.4116,NonMonocyte,TRUE,66364,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0042_slide1_2.png,Clustered_cell,0.4116,NonMonocyte,TRUE,56933,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x018_y013_cell_0024_slide1_4.png,Monocyte_without_RBC,0.4117,NonMonocyte,TRUE,495002,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y001_cell_0002_slide1_7.png,Lymphocyte,0.4118,NonMonocyte,TRUE,56187,Unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0077_slide2_2.png,Monocyte_without_RBC,0.412,NonMonocyte,TRUE,57359,Rbc Alone
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0326_slide1_4.png,Unusable,0.4122,NonMonocyte,TRUE,63976,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0053_slide1_8.png,Monocyte_without_RBC,0.4122,NonMonocyte,TRUE,62950,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0119_slide1_5.png,Clustered_cell,0.4124,NonMonocyte,TRUE,59436,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0031_slide1_8.png,Unusable,0.4126,NonMonocyte,TRUE,62648,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0119_slide1_2.png,Unusable,0.4131,NonMonocyte,TRUE,59433,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x017_y006_cell_0160_slide1_5.png,Clustered_cell,0.4132,NonMonocyte,TRUE,479803,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0026_slide1_1.png,Clustered_cell,0.4135,NonMonocyte,TRUE,56691,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0075_slide1_2.png,Clustered_cell,0.4135,NonMonocyte,TRUE,59125,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0240_slide1_6.png,Unusable,0.4136,NonMonocyte,TRUE,63886,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0223_slide1_2.png,Monocyte_without_RBC,0.4138,NonMonocyte,TRUE,219965,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y001_cell_0029_slide1_7.png,Unusable,0.4138,NonMonocyte,TRUE,56749,MonowithoutRBC
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0086_slide2_6.png,Clustered_cell,0.4141,NonMonocyte,TRUE,67115,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0001_slide2_2.png,Clustered_cell,0.4149,NonMonocyte,TRUE,65970,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0196_slide1_3.png,Monocyte_without_RBC,0.4149,NonMonocyte,TRUE,67814,RBC alone
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0019_slide2_6.png,Unusable,0.415,NonMonocyte,TRUE,62483,MonowithoutRBC
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0054_slide2_4.png,Monocyte_without_RBC,0.4154,NonMonocyte,TRUE,62965,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0033_slide1_4.png,Unusable,0.4155,NonMonocyte,TRUE,66518,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y003_cell_0135_slide1_2.png,Clustered_cell,0.4156,NonMonocyte,TRUE,219591,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0023_slide1_4.png,Unusable,0.4156,NonMonocyte,TRUE,66368,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0107_slide1_4.png,Clustered_cell,0.4157,NonMonocyte,TRUE,67299,Unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0156_slide1_1.png,Monocyte_without_RBC,0.4157,NonMonocyte,TRUE,219695,x
D:/MMA_LabelledData/Sliced\RBC alone\tile_x001_y002_cell_0080_slide1_5.png,RBC alone,0.416,NonMonocyte,TRUE,59176,Unusable
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0070_slide1_5.png,Clustered_cell,0.4164,NonMonocyte,TRUE,57284,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0008_slide1_1.png,Monocyte_without_RBC,0.4167,NonMonocyte,TRUE,220432,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0171_slide1_5.png,Monocyte_without_RBC,0.4169,NonMonocyte,TRUE,63701,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0070_slide2_3.png,Monocyte_without_RBC,0.4176,NonMonocyte,TRUE,59080,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0024_slide1_6.png,Monocyte_without_RBC,0.4177,NonMonocyte,TRUE,64430,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0208_slide1_4.png,Clustered_cell,0.418,NonMonocyte,TRUE,67861,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x018_y011_cell_0088_slide1_3.png,Monocyte_without_RBC,0.4182,NonMonocyte,TRUE,494711,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0134_slide1_5.png,Monocyte_without_RBC,0.4186,NonMonocyte,TRUE,221802,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0003_slide2_1.png,Unusable,0.4193,NonMonocyte,TRUE,58140,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y001_cell_0065_slide1_2.png,Unusable,0.4198,NonMonocyte,TRUE,57231,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y003_cell_0001_slide1_4.png,Unusable,0.4198,NonMonocyte,TRUE,60177,x
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x018_y006_cell_0050_slide1_3.png,Monocyte_with_RBC,0.42,NonMonocyte,TRUE,493141,Clustered cell
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y001_cell_0001_slide1_2.png,Lymphocyte,0.42,NonMonocyte,TRUE,56158,MonocytewithoutRBC
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0005_slide1_5.png,Clustered_cell,0.42,NonMonocyte,TRUE,64084,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0146_slide1_6.png,Monocyte_without_RBC,0.4205,NonMonocyte,TRUE,63602,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0088_slide2_1.png,Clustered_cell,0.4209,NonMonocyte,TRUE,63291,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0030_slide2_5.png,Monocyte_without_RBC,0.4209,NonMonocyte,TRUE,62639,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0196_slide1_4.png,Clustered_cell,0.4209,NonMonocyte,TRUE,67815,unusable
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0026_slide2_4.png,Clustered_cell,0.421,NonMonocyte,TRUE,60630,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y007_cell_0012_slide1_8.png,Clustered_cell,0.4213,NonMonocyte,TRUE,68279,x
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x001_y004_cell_0239_slide1_6.png,Monocyte_with_RBC,0.4214,NonMonocyte,TRUE,63884,Unusable
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y001_cell_0008_slide3_5.png,Unusable,0.4215,NonMonocyte,TRUE,56345,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0031_slide2_5.png,Monocyte_without_RBC,0.4215,NonMonocyte,TRUE,220817,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0150_slide1_6.png,Clustered_cell,0.4216,NonMonocyte,TRUE,57786,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0004_slide1_5.png,Clustered_cell,0.4218,NonMonocyte,TRUE,64061,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0213_slide1_6.png,Clustered_cell,0.422,NonMonocyte,TRUE,63832,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0082_slide2_4.png,Monocyte_without_RBC,0.4224,NonMonocyte,TRUE,57411,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0179_slide1_3.png,Clustered_cell,0.4227,NonMonocyte,TRUE,67746,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0125_slide1_5.png,Unusable,0.4228,NonMonocyte,TRUE,59472,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0023_slide1_6.png,Clustered_cell,0.4229,NonMonocyte,TRUE,58500,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0047_slide1_2.png,Clustered_cell,0.4237,NonMonocyte,TRUE,64771,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y003_cell_0007_slide2_8.png,Monocyte_without_RBC,0.4238,NonMonocyte,TRUE,60324,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0098_slide1_5.png,Monocyte_without_RBC,0.424,NonMonocyte,TRUE,67219,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y003_cell_0275_slide1_4.png,Lymphocyte,0.424,NonMonocyte,TRUE,62084,Unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0011_slide2_4.png,Monocyte_without_RBC,0.4241,NonMonocyte,TRUE,66182,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0007_slide1_6.png,Clustered_cell,0.4242,NonMonocyte,TRUE,64131,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y005_cell_0101_slide2_6.png,Unusable,0.4244,NonMonocyte,TRUE,65360,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0002_slide2_7.png,Clustered_cell,0.4244,NonMonocyte,TRUE,62154,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0007_slide2_5.png,Monocyte_without_RBC,0.4245,NonMonocyte,TRUE,220423,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0221_slide1_4.png,Monocyte_without_RBC,0.4246,NonMonocyte,TRUE,65803,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0002_slide3_8.png,Monocyte_without_RBC,0.4247,NonMonocyte,TRUE,64032,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0007_slide1_6.png,Monocyte_without_RBC,0.4248,NonMonocyte,TRUE,56306,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0007_slide2_4.png,Monocyte_without_RBC,0.4252,NonMonocyte,TRUE,220422,Rbc alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0007_slide2_3.png,Monocyte_without_RBC,0.4253,NonMonocyte,TRUE,58233,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y002_cell_0125_slide1_8.png,Monocyte_without_RBC,0.4254,NonMonocyte,TRUE,469799,Unusable
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0123_slide1_4.png,Clustered_cell,0.4256,NonMonocyte,TRUE,65515,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y007_cell_0016_slide1_7.png,Unusable,0.426,NonMonocyte,TRUE,68344,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y003_cell_0009_slide2_8.png,Monocyte_without_RBC,0.426,NonMonocyte,TRUE,60363,Rbc alone
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0033_slide1_4.png,Clustered_cell,0.4263,NonMonocyte,TRUE,58633,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y002_cell_0079_slide2_3.png,Lymphocyte,0.4271,NonMonocyte,TRUE,59172,RBC alone
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0227_slide1_6.png,Clustered_cell,0.4274,NonMonocyte,TRUE,59952,Unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y003_cell_0009_slide3_7.png,Monocyte_without_RBC,0.4277,NonMonocyte,TRUE,60365,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0087_slide1_1.png,Unusable,0.4281,NonMonocyte,TRUE,67116,MonocytewithoutRBC
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0066_slide1_2.png,Clustered_cell,0.4281,NonMonocyte,TRUE,59028,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0130_slide1_4.png,Clustered_cell,0.4282,NonMonocyte,TRUE,57716,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0253_slide1_6.png,Monocyte_without_RBC,0.4283,NonMonocyte,TRUE,60056,Rbc alone
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y003_cell_0072_slide1_6.png,Lymphocyte,0.4284,NonMonocyte,TRUE,61184,MonocytewithoutRBC
D:/MMA_LabelledData/Sliced\Unusable\tile_x007_y003_cell_0295_slide1_2.png,Unusable,0.4286,NonMonocyte,TRUE,220190,Clustered cell
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0020_slide1_1.png,Clustered_cell,0.4286,NonMonocyte,TRUE,220635,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y012_cell_0033_slide1_4.png,Clustered_cell,0.4288,NonMonocyte,TRUE,494834,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0070_slide1_8.png,Monocyte_without_RBC,0.4293,NonMonocyte,TRUE,59077,unusable
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y013_cell_0012_slide1_4.png,Clustered_cell,0.4294,NonMonocyte,TRUE,494954,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x017_y006_cell_0183_slide1_5.png,Clustered_cell,0.4294,NonMonocyte,TRUE,479914,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0024_slide1_8.png,Monocyte_without_RBC,0.4297,NonMonocyte,TRUE,64432,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0258_slide1_2.png,Monocyte_without_RBC,0.4299,NonMonocyte,TRUE,220096,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y007_cell_0003_slide2_4.png,Monocyte_without_RBC,0.43,NonMonocyte,TRUE,68098,Rbc alone
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y005_cell_0209_slide1_4.png,Unusable,0.4301,NonMonocyte,TRUE,65779,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0083_slide2_2.png,Monocyte_without_RBC,0.4304,NonMonocyte,TRUE,221448,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0056_slide1_8.png,Monocyte_without_RBC,0.4304,NonMonocyte,TRUE,62986,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0075_slide2_5.png,Unusable,0.4305,NonMonocyte,TRUE,63196,x
