file_path,folder,prob_unclustered,prob_clustered,prob_nonmono,max_probability,prediction,uncertain,label_studio_id
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y001_cell_0059_slide1_4.png,Unusable,0.3525,0.4185,0.229,0.4185,Clustered,True,57156
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y006_cell_0221_slide1_4.png,Monocyte_without_RBC,0.4072,0.174,0.4189,0.4189,NonMonocyte,True,479997
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0205_slide1_5.png,Clustered_cell,0.4198,0.3979,0.1823,0.4198,Unclustered,True,59863
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0027_slide1_7.png,Clustered_cell,0.421,0.1764,0.4026,0.421,Unclustered,True,56715
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0086_slide1_5.png,Monocyte_without_RBC,0.1743,0.4212,0.4045,0.4212,Clustered,True,65210
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0320_slide1_5.png,Clustered_cell,0.1912,0.3866,0.4222,0.4222,NonMonocyte,True,58060
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0015_slide1_4.png,Clustered_cell,0.2034,0.4233,0.3734,0.4233,Clustered,True,58378
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0061_slide2_2.png,Clustered_cell,0.2047,0.3718,0.4234,0.4234,NonMonocyte,True,58980
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0019_slide1_3.png,Clustered_cell,0.4235,0.2178,0.3588,0.4235,Unclustered,True,64347
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0122_slide1_5.png,Monocyte_without_RBC,0.4237,0.175,0.4012,0.4237,Unclustered,True,63494
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0136_slide1_3.png,Monocyte_without_RBC,0.4242,0.3887,0.1871,0.4242,Unclustered,True,219597
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0059_slide1_3.png,Clustered_cell,0.2665,0.3091,0.4245,0.4245,NonMonocyte,True,64926
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y002_cell_0131_slide1_2.png,Monocyte_without_RBC,0.171,0.4043,0.4247,0.4247,NonMonocyte,True,469832
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0082_slide1_3.png,Clustered_cell,0.3035,0.4255,0.271,0.4255,Clustered,True,59191
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0310_slide1_2.png,Monocyte_without_RBC,0.4257,0.2994,0.2749,0.4257,Unclustered,True,60131
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y003_cell_0129_slide1_6.png,Clustered_cell,0.4271,0.1613,0.4116,0.4271,Unclustered,True,219564
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y006_cell_0219_slide1_4.png,Monocyte_without_RBC,0.3962,0.1766,0.4272,0.4272,NonMonocyte,True,479993
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y002_cell_0139_slide1_8.png,Monocyte_without_RBC,0.4272,0.2353,0.3375,0.4272,Unclustered,True,469875
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y003_cell_0014_slide2_6.png,Unusable,0.4277,0.2714,0.3009,0.4277,Unclustered,True,60452
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0004_slide2_1.png,Unusable,0.3596,0.2126,0.4279,0.4279,NonMonocyte,True,66040
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y005_cell_0045_slide1_8.png,Unusable,0.3727,0.1991,0.4282,0.4282,NonMonocyte,True,64749
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0018_slide1_7.png,Monocyte_without_RBC,0.2824,0.2894,0.4282,0.4282,NonMonocyte,True,56551
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0039_slide1_2.png,Clustered_cell,0.429,0.4135,0.1574,0.429,Unclustered,True,62755
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y003_cell_0234_slide1_2.png,Clustered_cell,0.2444,0.3261,0.4295,0.4295,NonMonocyte,True,220009
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y013_cell_0067_slide1_5.png,Clustered_cell,0.4286,0.4299,0.1415,0.4299,Clustered,True,495122
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0075_slide1_5.png,Monocyte_without_RBC,0.4303,0.1663,0.4034,0.4303,Unclustered,True,63191
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0066_slide2_4.png,Monocyte_without_RBC,0.388,0.1811,0.4309,0.4309,NonMonocyte,True,57251
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0012_slide2_7.png,Clustered_cell,0.4309,0.3611,0.208,0.4309,Unclustered,True,220521
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x018_y011_cell_0007_slide1_1.png,Monocyte_with_RBC,0.4325,0.1419,0.4256,0.4325,Unclustered,True,494539
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0002_slide1_1.png,Unusable,0.4347,0.1696,0.3957,0.4347,Unclustered,True,62140
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0135_slide1_6.png,Clustered_cell,0.4361,0.4294,0.1345,0.4361,Unclustered,True,221808
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0084_slide1_5.png,Unusable,0.4366,0.1739,0.3895,0.4366,Unclustered,True,67093
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y002_cell_0026_slide1_8.png,Lymphocyte,0.4368,0.1981,0.3651,0.4368,Unclustered,True,58544
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y002_cell_0097_slide1_5.png,Lymphocyte,0.4371,0.1901,0.3728,0.4371,Unclustered,True,59299
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0007_slide2_7.png,Clustered_cell,0.2373,0.4387,0.324,0.4387,Clustered,True,220425
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0177_slide1_2.png,Unusable,0.4388,0.1344,0.4269,0.4388,Unclustered,True,67737
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0205_slide1_2.png,Clustered_cell,0.4394,0.1452,0.4154,0.4394,Unclustered,True,222101
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y003_cell_0027_slide2_1.png,Monocyte_without_RBC,0.4357,0.444,0.1204,0.444,Clustered,True,60641
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0118_slide2_6.png,Clustered_cell,0.2053,0.3505,0.4442,0.4442,NonMonocyte,True,63474
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0123_slide2_2.png,Clustered_cell,0.4443,0.3951,0.1605,0.4443,Unclustered,True,61594
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0138_slide2_2.png,Clustered_cell,0.1311,0.4221,0.4469,0.4469,NonMonocyte,True,63571
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y003_cell_0118_slide1_3.png,Unusable,0.4471,0.402,0.1509,0.4471,Unclustered,True,61554
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0062_slide1_2.png,Monocyte_without_RBC,0.433,0.4484,0.1186,0.4484,Clustered,True,64961
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0003_slide1_1.png,Monocyte_without_RBC,0.4491,0.1364,0.4145,0.4491,Unclustered,True,220325
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0006_slide2_4.png,Clustered_cell,0.4496,0.4465,0.1039,0.4496,Unclustered,True,58213
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0332_slide1_2.png,Monocyte_without_RBC,0.3619,0.1884,0.4497,0.4497,NonMonocyte,True,220228
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0321_slide1_5.png,Clustered_cell,0.2004,0.3497,0.4499,0.4499,NonMonocyte,True,58061
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0135_slide2_1.png,Monocyte_without_RBC,0.2445,0.3051,0.4503,0.4503,NonMonocyte,True,67518
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0034_slide1_3.png,Clustered_cell,0.4505,0.4277,0.1217,0.4505,Unclustered,True,62686
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0164_slide1_6.png,Monocyte_without_RBC,0.4508,0.1662,0.383,0.4508,Unclustered,True,57828
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0077_slide1_3.png,Monocyte_without_RBC,0.4509,0.275,0.2742,0.4509,Unclustered,True,67028
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0160_slide1_6.png,Monocyte_without_RBC,0.4124,0.4517,0.136,0.4517,Clustered,True,219715
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0050_slide2_1.png,Clustered_cell,0.4518,0.2707,0.2775,0.4518,Unclustered,True,62914
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0002_slide1_3.png,Monocyte_without_RBC,0.4519,0.1369,0.4112,0.4519,Unclustered,True,220303
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x017_y006_cell_0159_slide1_2.png,Clustered_cell,0.453,0.2003,0.3468,0.453,Unclustered,True,479795
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x001_y001_cell_0048_slide1_2.png,Monocyte_with_RBC,0.2059,0.4538,0.3403,0.4538,Clustered,True,57011
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y001_cell_0022_slide1_4.png,Unusable,0.1367,0.4091,0.4542,0.4542,NonMonocyte,True,56622
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0073_slide2_4.png,Monocyte_without_RBC,0.455,0.4508,0.0942,0.455,Unclustered,True,63177
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0023_slide2_7.png,Clustered_cell,0.4556,0.3082,0.2362,0.4556,Unclustered,True,220697
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0012_slide1_3.png,Monocyte_without_RBC,0.3389,0.4561,0.205,0.4561,Clustered,True,66191
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0064_slide1_1.png,Clustered_cell,0.4563,0.4535,0.0902,0.4563,Unclustered,True,66907
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0036_slide2_5.png,Monocyte_without_RBC,0.4572,0.4126,0.1302,0.4572,Unclustered,True,56861
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0054_slide1_8.png,Clustered_cell,0.4004,0.4575,0.142,0.4575,Clustered,True,62962
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0028_slide1_6.png,Monocyte_without_RBC,0.4581,0.1901,0.3519,0.4581,Unclustered,True,220765
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0078_slide1_2.png,Clustered_cell,0.4582,0.3039,0.2378,0.4582,Unclustered,True,67036
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0125_slide2_2.png,Monocyte_without_RBC,0.3032,0.2386,0.4582,0.4582,NonMonocyte,True,63515
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0146_slide1_2.png,Clustered_cell,0.2315,0.4587,0.3098,0.4587,Clustered,True,67585
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0028_slide1_2.png,Clustered_cell,0.4548,0.4589,0.0863,0.4589,Clustered,True,60648
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0003_slide1_3.png,Clustered_cell,0.0958,0.4448,0.4594,0.4594,NonMonocyte,True,66011
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0247_slide1_4.png,Unusable,0.1002,0.44,0.4597,0.4597,NonMonocyte,True,60030
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0058_slide2_3.png,Clustered_cell,0.2193,0.4601,0.3206,0.4601,Clustered,True,66854
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0116_slide1_3.png,Clustered_cell,0.421,0.4603,0.1187,0.4603,Clustered,True,221692
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x017_y006_cell_0218_slide1_4.png,Clustered_cell,0.1652,0.3737,0.4612,0.4612,NonMonocyte,True,479991
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0148_slide1_6.png,Monocyte_without_RBC,0.4615,0.3566,0.1819,0.4615,Unclustered,True,65637
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0033_slide1_5.png,Clustered_cell,0.2108,0.3277,0.4615,0.4615,NonMonocyte,True,64572
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x018_y014_cell_0017_slide1_4.png,Monocyte_without_RBC,0.4625,0.1326,0.4049,0.4625,Unclustered,True,495218
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x017_y006_cell_0166_slide1_3.png,Clustered_cell,0.464,0.3216,0.2144,0.464,Unclustered,True,479831
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0285_slide1_5.png,Monocyte_without_RBC,0.1546,0.381,0.4644,0.4644,NonMonocyte,True,58025
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0063_slide2_5.png,Clustered_cell,0.4644,0.4217,0.1138,0.4644,Unclustered,True,63071
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0126_slide1_5.png,Monocyte_without_RBC,0.4646,0.0835,0.4519,0.4646,Unclustered,True,63517
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0009_slide3_7.png,Monocyte_without_RBC,0.4108,0.4654,0.1238,0.4654,Clustered,True,220470
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x001_y002_cell_0084_slide1_3.png,Monocyte_with_RBC,0.4655,0.2501,0.2844,0.4655,Unclustered,True,59206
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0030_slide1_5.png,Monocyte_without_RBC,0.4658,0.0839,0.4503,0.4658,Unclustered,True,64525
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y002_cell_0047_slide1_2.png,Lymphocyte,0.4658,0.2881,0.2461,0.4658,Unclustered,True,58810
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0012_slide1_4.png,Monocyte_without_RBC,0.4662,0.178,0.3559,0.4662,Unclustered,True,62360
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0060_slide2_4.png,Monocyte_without_RBC,0.4665,0.2882,0.2454,0.4665,Unclustered,True,221218
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0007_slide1_1.png,Clustered_cell,0.2426,0.4669,0.2905,0.4669,Clustered,True,66094
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0206_slide1_5.png,Unusable,0.4404,0.4671,0.0924,0.4671,Clustered,True,59867
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y002_cell_0126_slide1_8.png,Monocyte_without_RBC,0.2949,0.2377,0.4673,0.4673,NonMonocyte,True,469805
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0068_slide1_2.png,Clustered_cell,0.3939,0.1383,0.4678,0.4678,NonMonocyte,True,65027
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0038_slide1_1.png,Unusable,0.4097,0.1223,0.4679,0.4679,NonMonocyte,True,62740
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0088_slide1_8.png,Clustered_cell,0.4682,0.4684,0.0634,0.4684,Clustered,True,221490
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0009_slide1_4.png,Clustered_cell,0.4686,0.3955,0.1359,0.4686,Unclustered,True,62303
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0118_slide2_2.png,Clustered_cell,0.275,0.4689,0.2561,0.4689,Clustered,True,65488
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0180_slide1_5.png,Clustered_cell,0.2472,0.4689,0.2839,0.4689,Clustered,True,61863
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0057_slide2_3.png,Clustered_cell,0.4547,0.469,0.0763,0.469,Clustered,True,221179
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0118_slide2_2.png,Clustered_cell,0.469,0.2287,0.3024,0.469,Unclustered,True,63473
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0087_slide2_4.png,Clustered_cell,0.3863,0.1438,0.4699,0.4699,NonMonocyte,True,57460
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0086_slide1_5.png,Clustered_cell,0.4395,0.4704,0.0901,0.4704,Clustered,True,61308
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0077_slide2_1.png,Monocyte_without_RBC,0.4721,0.0907,0.4372,0.4721,Unclustered,True,67032
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y011_cell_0064_slide1_3.png,Clustered_cell,0.4721,0.1702,0.3577,0.4721,Unclustered,True,494687
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0007_slide2_4.png,Monocyte_without_RBC,0.4722,0.3107,0.2171,0.4722,Unclustered,True,58234
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y006_cell_0157_slide1_3.png,Unusable,0.4685,0.0584,0.4731,0.4731,NonMonocyte,True,67652
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0028_slide2_2.png,Clustered_cell,0.4066,0.1196,0.4738,0.4738,NonMonocyte,True,62608
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x018_y012_cell_0076_slide1_4.png,Monocyte_without_RBC,0.4751,0.2043,0.3207,0.4751,Unclustered,True,494906
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0140_slide1_4.png,Monocyte_without_RBC,0.4149,0.1094,0.4757,0.4757,NonMonocyte,True,67551
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0041_slide1_4.png,Clustered_cell,0.0675,0.4566,0.4758,0.4758,NonMonocyte,True,56922
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0055_slide2_3.png,Monocyte_without_RBC,0.476,0.1816,0.3424,0.476,Unclustered,True,221153
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0005_slide1_5.png,Clustered_cell,0.0489,0.4762,0.4749,0.4762,Clustered,True,64084
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0002_slide2_7.png,Clustered_cell,0.343,0.1808,0.4762,0.4762,NonMonocyte,True,62154
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y013_cell_0017_slide1_4.png,Clustered_cell,0.1181,0.4764,0.4055,0.4764,Clustered,True,494974
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x001_y001_cell_0170_slide1_6.png,Monocyte_with_RBC,0.2776,0.4767,0.2456,0.4767,Clustered,True,57846
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0322_slide1_2.png,Monocyte_without_RBC,0.4767,0.0568,0.4666,0.4767,Unclustered,True,220218
D:/MMA_LabelledData/Sliced\Monocyte_with_RBC\tile_x001_y002_cell_0004_slide2_2.png,Monocyte_with_RBC,0.0807,0.4768,0.4424,0.4768,Clustered,True,58165
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0028_slide1_6.png,Monocyte_without_RBC,0.4633,0.06,0.4768,0.4768,NonMonocyte,True,64494
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0101_slide2_6.png,Clustered_cell,0.3731,0.477,0.1499,0.477,Clustered,True,67250
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0007_slide2_3.png,Monocyte_without_RBC,0.3785,0.1443,0.4772,0.4772,NonMonocyte,True,58233
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0297_slide1_5.png,Clustered_cell,0.4777,0.3861,0.1361,0.4777,Unclustered,True,58037
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0063_slide1_2.png,Monocyte_without_RBC,0.3716,0.4786,0.1498,0.4786,Clustered,True,64972
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0089_slide1_3.png,Monocyte_without_RBC,0.4787,0.161,0.3603,0.4787,Unclustered,True,59241
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0027_slide3_1.png,Monocyte_without_RBC,0.4788,0.3582,0.1629,0.4788,Unclustered,True,56724
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0013_slide2_3.png,Monocyte_without_RBC,0.2488,0.2723,0.4789,0.4789,NonMonocyte,True,64257
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0007_slide2_4.png,Clustered_cell,0.2555,0.479,0.2656,0.479,Clustered,True,64137
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0254_slide1_4.png,Clustered_cell,0.0572,0.4791,0.4637,0.4791,Clustered,True,67969
D:/MMA_LabelledData/Sliced\Unusable\tile_x017_y006_cell_0171_slide1_5.png,Unusable,0.4316,0.0893,0.4792,0.4792,NonMonocyte,True,479858
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0280_slide1_2.png,Clustered_cell,0.4802,0.2074,0.3124,0.4802,Unclustered,True,60101
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0074_slide2_4.png,Clustered_cell,0.4808,0.3878,0.1313,0.4808,Unclustered,True,57331
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y003_cell_0007_slide1_4.png,Unusable,0.4812,0.429,0.0897,0.4812,Unclustered,True,60312
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0090_slide1_1.png,Clustered_cell,0.4813,0.0615,0.4572,0.4813,Unclustered,True,67143
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0002_slide2_5.png,Clustered_cell,0.4817,0.3604,0.158,0.4817,Unclustered,True,65997
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0125_slide1_4.png,Clustered_cell,0.4821,0.3902,0.1277,0.4821,Unclustered,True,67444
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0139_slide1_4.png,Clustered_cell,0.4825,0.393,0.1245,0.4825,Unclustered,True,63572
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0057_slide2_3.png,Clustered_cell,0.1869,0.4828,0.3303,0.4828,Clustered,True,66843
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0017_slide1_2.png,Unusable,0.1984,0.3183,0.4833,0.4833,NonMonocyte,True,62441
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y002_cell_0062_slide2_1.png,Monocyte_without_RBC,0.4835,0.4773,0.0392,0.4835,Unclustered,True,58990
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0214_slide1_4.png,Clustered_cell,0.4221,0.4836,0.0943,0.4836,Clustered,True,63833
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0087_slide1_4.png,Clustered_cell,0.4196,0.4838,0.0966,0.4838,Clustered,True,61315
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y013_cell_0022_slide1_3.png,Clustered_cell,0.0368,0.4793,0.4839,0.4839,NonMonocyte,True,494993
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0091_slide1_5.png,Clustered_cell,0.484,0.3912,0.1248,0.484,Unclustered,True,221512
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0033_slide2_4.png,Monocyte_without_RBC,0.4844,0.0344,0.4812,0.4844,Unclustered,True,64578
